病害名称(别名),发病地区,病害发生生育期,病害发生部位,为害特征,病原,气象,小麦品种,防治措施
小麦红矮病毒病,主要分布在我国西北麦区,未提及,未提及,病株矮化严重，分蘖少或减少，严重时病株在拔节前即死亡，轻病株能拔节，多不抽穗，有的虽抽穗，但籽粒不实；病株叶片变红或变黄，有的波及到叶鞘,病毒由稻叶蝉、条沙叶蝉、四点叶蝉进行持久性传毒，可经叶蝉卵传毒，麦双尾蚜为害后，加重病情,干燥温暖地区及早播麦田发病重,选用抗红矮病的小麦品种，如应选15号、庆选27号等,物理防治：山地在搞好农田基本建设，做好水土保持工作基础上，科学播种，防止早播，精耕细作，及时清除田间杂草，麦收后马上灭茬深翻，麦苗越冬期搞好镇压耙耱。种子处理：播种前用75%甲拌磷乳油100g，对水3 - 4L，喷在50kg麦种上拌匀，再闷种12小时后晾干播种。药剂防治：苗期虫口密度大时，马上喷洒40%氧化果乳油等药剂，必要时可选用10%一遍净(吡虫啉)可湿性粉剂
小麦纹枯病,近年我国麦区常发病害,未提及,小麦受纹枯菌侵染后，在各生育阶段出现烂芽、病苗枯死、花秆烂茎、枯株白穗等症状,烂芽：芽鞘褐变，后芽枯死腐烂，不能出土；病苗枯死：3 - 4叶期，第一叶鞘出现中间灰色、四周褐色病斑，后因抽不出新叶而致病苗枯死；花秆烂茎：拔节后在基部叶鞘上形成云纹状病斑，病斑融合后，茎基部呈云纹花秆状；枯株白穗：病斑侵入茎壁后，形成眼斑，造成茎壁失水坏死，最后病株枯死形成枯株白穗；还可形成病侵交界不明显的褐色病斑,病菌以菌丝或菌核在土壤和病残体上越冬或越夏，播种后开始侵染为害，发病过程分冬前发病期、越冬期、横向扩展期、严重度增长期及枯白穗发生期5个阶段,发病适温20℃左右，冬季偏暖，早春气温回升快，阴雨天多，光照不足的年份发病重；冬小麦播种过早、秋苗期病菌侵染机会多、病害越冬基数高，返青后病势扩展快，发病重；适当晚播则发病轻；重化肥轻有机肥，重氮肥轻磷钾肥发病重；高砂土地纹枯病重于粘土地、粘土地重于盐碱地,选用抗病、耐病品种，如郑引1号、扬麦1号等,肥料防治：施用酵素菌沤制的堆肥或增施有机肥，采用配方施肥技术配合施用氮、磷、钾肥，避免偏施、施氮肥。农业防治：适期播种，避免早播，适当降低播种量，及时清除田间杂草，雨后及时排水。药剂防治：播种前用种子重量0.2%的33%纹霉净(三唑酮加多菌灵)可湿性粉剂等多种药剂拌种；翌年春季冬、春小麦拔节期，用5%井岗霉素水剂等多种药剂喷雾；还可选用33%纹霉净可湿性粉剂或50%甲基立枯灵(利克菌)可湿粉400倍液；提倡施用南京农业大学研制的B#力粉拌种；于小麦拔节孕穗期叶面喷洒力克麦得
小麦细菌性条斑病,北京、山东、新疆、西藏等地,未提及,主要为害小麦叶片，严重时也可为害叶鞘、茎秆、颖片和籽粒,病部初现针尖大小的深绿色小斑点，后扩展为半透明水浸状的条斑，后变深褐色，常出现小颗粒状细菌脓，褐色条斑出现在叶片上；病斑出现在颖壳上的称黑颖,病菌随病残体在土中或在种子上越冬，翌春从寄主的自然孔口或伤口侵入，经3 - 4天潜育即发病，在田间经暴风雨传播蔓延，进行多次再侵染,在新疆5 - 7月大的暴风雨次数多，造成叶片产生大量伤口，致细菌多次侵染，易流行成灾；冬麦较春麦易发病，冬麦中新冬2号等发病重，春麦中白欧柔发病重；一般土壤肥沃，播种量大，施肥多且集中，尤其是施氮肥较多，致植株密集，枝叶繁茂，通风透光不良则发病重,选用抗病品种,农业防治：适时播种，冬麦不宜过早，春麦要种植生长期适中或偏长的品种，采用配方施肥技术。种子处理：用45℃水恒温浸种3小时，晾干后播种；也可用1%生石灰水在30℃下浸种24小时，晾干后再用种子重量0.25的40%拌种双粉剂拌种
小麦缺素症,未提及,未提及,未提及,缺氮型黄苗：植株矮小细弱，分蘖少而弱，叶片窄小直立，叶色淡黄绿，老叶叶尖干枯，逐步发展为基部叶片枯黄，茎有时呈淡紫色，穗形短小，千粒重低；缺磷型红苗：叶片暗绿，带紫红色，无光泽，植株细小，分蘖少，次生根极少，茎基部呈紫色，前期生长停滞，出现缩苗，冬前返青期叶尖紫红色，抽穗成熟延迟，穗小粒少，籽粒不饱满，千粒重低,缺氮：播种过早、砂性土壤、基肥不足易缺氮；缺磷：有机质含量少，基肥不足的土壤易缺磷；缺钾：红壤土、黄壤土易缺钾，华北平原麦田砂壤土较明显；缺锌：中性、微碱性土壤易缺锌；缺锰：石灰性土壤，尤其是质地轻、有机质含量少、通透性良好的土壤易缺锰；缺钼：中性和石灰性土壤，尤其是质地较轻的砂性土有效钼含量低；缺硼：碱性较大的石灰性土壤上易缺硼；缺镁：富钾土壤中，钾和镁之间存在拮抗作用，大量施钾易引起镁缺乏；缺铁：通气良好的石灰性土壤上容易出现缺铁,未提及,未提及,肥料防治：防止缺氮，施用充分腐熟的有机肥或酵素菌沤制的堆肥，采用配方施肥技术，应急时追施人粪尿或硫铵，喷施尿素水溶液，用尿素或硫酸铵拌种；防止缺磷，追施普钙，喷施普钙澄清液或磷酸二氢钾水溶液；防止缺钾，追施硫酸钾或氯化钾或草木灰，喷施硫酸钾或氯化钾或磷酸二氢钾水溶液；防止缺锌，追施硫酸锌，喷施硫酸锌，用硫酸锌拌种；防止缺锰，追施硫酸锰，叶面喷施硫酸锰，用硫酸锰拌种；防止缺钼，喷施钼酸铵溶液，用钼酸铵拌种；防止缺硼，用硼砂溶液进行叶面喷肥；提倡施用迦姆丰收液肥，拌种或在不同生育期喷施，也可选用多得稀土纯营养剂拌种、浸种或喷施
小麦腥黑穗病和矮腥黑穗病(腥乌麦、黑麦、黑疸),未提及,未提及,病症主要出现在穗部,一般病株较矮，分蘖较多，病穗稍短且直，颜色较深，初为灰绿，后为灰黄；颖壳麦芒外张，露出部分病粒(菌瘿)；病粒较健粒短粗，初为暗绿，后变灰黑，包外一层灰包膜，内部充满黑色粉末(病菌厚垣孢子)，破裂散出含有三甲胺鱼腥味的气体,病菌以厚垣孢子附在种子外表或混入粪肥、土壤中越冬或越夏，当种子发芽时，厚垣孢子萌发产生先菌丝，其顶端生担孢子，不同性别担孢子结合后萌发为双核侵染线，从芽鞘侵入麦苗并到达生长点，后以菌丝体形态随小麦发育，到孕穗期，侵入子房，破坏花器，抽穗时在麦粒内形成菌瘿,小麦腥黑穗病菌的厚垣孢子能在水中萌发，有机肥浸出液对其萌发有刺激作用；萌发适温16 - 20℃，病菌侵入麦苗温度5 - 20℃，最适9 - 12℃；湿润土壤(土壤持水量40%以下)有利于孢子萌发和侵染；一般播种较深，不利于麦苗出土，增加病菌侵染机会，病害加重发生,未提及,种子处理：常年发病较重地区用2%立克秀拌种剂等多种药剂拌种和闷种。肥料处理：提倡施用酵素菌沤制的堆肥或施用腐熟的有机肥，对带菌粪肥进行处理后再施或与种子隔离施用。农业防治：春麦不宜播种过早，冬麦不宜播种过迟，播种不宜过深，播种时施用硫铵等速效化肥做种肥，冬麦提倡在秋季播种时基施长效碳铵
小麦蜜穗病,未提及,小麦抽穗后,未提及,染病株心叶卷曲，叶和叶鞘间含有黄色胶质物和细菌溢脓，新生叶片抽出受阻，常粘有细菌分泌物；病株麦穗瘦小或不能抽出，护颖间也常沾有黄色胶质物，干燥后溢脓在穗部或上部叶片上变成白色膜状物，使穗、叶坚挺；湿度大时，溢脓增多或流淌下落；小麦成熟后，黄色胶质物凝结为胶状小粒,该病是伴随小麦线虫而产生的细菌病，主要靠小麦线虫为介体侵入小麦,未提及,未提及,防治：重点防治小麦线虫病
小麦蠕孢叶斑根腐病(小麦蠕孢叶斑病、蠕孢根腐病),我国各冬麦或春麦区均有发生，春麦区流行频率高,小麦全生育期，穗期叶斑和穗腐是防治关键,幼苗期引致芽腐和苗枯，成株期引致叶片早枯和穗腐、根腐、茎基腐、叶斑、黑胚粒、籽粒秕瘦等，成株期叶斑发生最普遍，为害最重,芽腐、苗枯：染病重的种子不能发芽或刚萌芽就变褐腐烂不能出土，发病轻的可萌发出土但胚芽鞘或其他地下部分发病，多在冬前死掉或产生弱苗；根腐、茎基腐：在苗期的胚芽鞘、地下茎或幼根上出现褐色病变、局部组织腐烂或坏死，常致地下茎基近分蘖节处出现褐色病斑，近地面的叶鞘生褐色梭形斑痕，常致幼苗发黄，田间出现一片片浅绿至浅黄色，病苗矮小、稀疏、叶直立；成株期下部1 - 2叶的叶尖枯焦，根部发育不良，次生根少，种子根、茎基表面具褐点，可深达内部，病部腐死，严重的次生根根尖或中部也褐变腐烂、分蘖枯死或生育中后期部分或全株完全死亡；叶斑：秋苗期或早春染病在近地面叶片上产生很多椭圆形、浅褐色至褐色小斑，拔节后至成株期显症，产生典型的浅褐色、椭圆形至梭形病斑，周围多具黄色晕圈，病斑中间枯黄色，其上常生长链格孢或其它第二寄生物，外围淡褐色，病情扩展快时，病斑融合形成大斑，致叶片部分或全叶干枯；穗腐、黑胚粒：穗期染病，在颖壳或穗轴上产生褐色病变，病斑多时常致大部分颖壳或穗轴变褐，严重的引致半穗或全穗枯死，病颖上菌丝侵染种子后，胚部变为深褐色，出现黑胚粒，种子瘦秕,病菌随病残体在土壤中或在种子上越冬或越夏，分生孢子经胚芽鞘或幼根侵入，引起地下茎或次生根或次基部叶鞘等中位发病，带菌种子是苗期叶斑病的重要初侵染源，小麦拔节后至成株期，根腐继续扩展，叶斑病从下向上不断扩展，地面上的病残体和植株病部产生大量病菌分生孢子，借风雨传播，进行再侵染,气温18 - 25℃，相对湿度100%，功能叶片和麦穗就大量染病或流行成灾；春麦迟播或冬麦早播苗期易发病，种植过密发病重；减少病残体落入田间的机会或促进土壤中病残体尽快腐烂的措施均利于减轻发病,冬小麦抗(耐)病品种有：豫麦21号、郑州8915等,农业防治：提倡轮作以减少土壤中菌量，秋翻灭茬，加强夏秋两季田间管理，加快土壤中病残体分解；选用无病种子，适时适量播种，提高播种质量，减轻苗期发病。肥料防治：提倡施用日本酵素菌沤制的堆肥。药剂防治：种子处理用种子重量0.2% - 0.3%的50%福美双可湿性粉剂等多种药剂拌种，小麦用三唑酮拌种影响小麦出苗严重的地区或品种，提倡用三唑酮与增产菌混用拌种；用50%退菌特或70%代森锰锌可湿性粉剂100倍液浸种24 - 36小时；成株期当初穗期小麦中下部叶片发病重，且多雨时，喷洒70%代森锰锌或50%福美双可湿性粉剂等多种药剂
小麦赤霉病(麦穗枯、烂麦头、红麦头),未提及,从幼苗到抽穗都可受害，穗腐影响最严重,主要引起苗枯、穗腐、茎基腐、秆腐和穗腐,苗腐：种子带菌或土壤中病残体侵染所致，芽变褐，根冠随之腐烂，轻者病苗黄瘦，重者死亡，枯死苗湿度大时产生粉红色霉状物。穗腐：小麦扬花时，在小穗和颖片上产生水浸状浅褐色斑，渐扩大至整个小穗，小穗枯黄，湿度大时病斑处产生粉红色胶状霉层，后期产生密集蓝黑色小颗粒，籽粒干瘪并伴有白色至粉红色霉，小穗发病后扩展至穗轴，形成枯白穗。茎基腐：自幼苗出土至成熟均可发生，麦株基部组织受害后变褐腐烂，致全株枯死。秆腐：多发生在穗下第一、二节，初在叶鞘上出现水渍状褪绿斑，后扩展为淡褐色至红褐色不规则形斑或向茎内扩展，病情严重时病部以上枯黄，有时不能抽穗或抽出枯黄穗，气候潮湿时病部可见粉红色霉层,我国中、南部稻麦两作区，病菌在病残体及多种作物病残体中越夏越冬，翌年形成子囊壳是主要侵染源，子囊孢子借气流、风雨传播，在开花至盛花期侵染率最高，穗腐形成的分生孢子对邻近晚麦侵染作用较大，还能以菌丝体在病种子内越夏越冬；我国北部、东北部麦区，病菌在麦株残体、带病种子和其它植物残体上越冬；北方冬麦区以菌丝体在小麦、玉米穗轴上越夏越冬，次年产生子囊壳放射出子囊孢子进行侵染,春季气温7℃以上，土壤含水量大于50%形成子囊壳，气温高于12℃形成子囊孢子，在降雨或空气潮湿的情况下，子囊孢子成熟并散落在花药上，经花丝侵染小穗发病；迟熟、颖壳较厚、不耐肥品种发病较重；田间病残体菌量大发病重；地势低洼、排水不良、粘重土壤，偏施氮肥、密度大，田间郁闭发病重,选用抗(耐)病品种，如苏麦3号、扬麦4号等，春小麦有定丰3号、宁春24号等，各地因地制宜选用,种子处理：播种前进行石灰水浸种。农业防治：合理排灌，湿地开沟排水；收获后深耕灭茬，减少菌源；适时播种，避开扬花期遇雨；提倡施用酵素菌沤制的堆肥，采用配方施肥技术，合时施肥，忌偏施氮肥。药剂防治：用增产菌拌种；防治重点是在小麦扬花期预防穗腐发生，在始花期喷洒50%多菌灵可湿性粉剂等药剂，隔5 - 7天防治一次；在赤霉病、麦蚜、粘虫混发区，用40%毒死蜱等药剂混合防治
小麦越冬死苗,未提及,冬小麦越冬期间,未提及,死苗率低于10%影响不大，高于20%会造成减产，严重时死苗率达30% - 50%,一是不利的气候条件，主要指低温和干旱；二是品种的抗寒能力；三是土质情况，土壤偏砂性、保水能力差死苗严重；四是栽培措施，如土壤干旱年份播种过浅、播种过早、苗子过旺等会加重越冬死苗,未提及,干旱是冬小麦越冬死苗的主导因子，冬麦区选用冀麦40号等抗旱品种，春小麦区选用晋春13号等抗旱品种,物理防治：培育冬前壮苗，抓好越冬管理。及时浇好封冻水，在“夜冻昼消”时浇；搞好盖土盖肥，对播种质量差或过浅的麦田盖土，在没施粗肥或施得少的麦田盖肥；抓紧冬季碾麦，破碎土坷垃，压实土壤、弥补裂缝；严禁猪羊啃麦苗。药剂防治：播种前用天威叶面肥500倍液浸种2 - 4小时，晾干后播种；返青拔节期喷600 - 800倍液、扬花期至灌浆初期喷700倍液；也可在播种前用万家宝800倍液浸种24小时，晾干后播种，必要时于小麦孕穗至灌浆期叶面喷施万家宝500 - 600倍液，隔15天1次，连续2次
小麦链格孢叶枯病,未提及,未提及,主要为害叶片，从下部叶片向上扩展,初染病时，产生卵形至椭圆形褪绿小斑，后变黑至褐灰色，边缘黄色，湿度大时病斑上生暗色霉层，严重时叶鞘和麦穗枯萎,病菌随病残体在土壤中越冬或越夏，种子上也可带菌，翌年春天形成分生孢子侵染春小麦或返青后的冬小麦叶片,低洼潮湿或地下水位高的麦田发生重，一般在接近成熟期，寄主抗性下降，该病扩展很快,未提及,肥料防治：施足充分腐熟有机肥，提倡施用酵素菌沤制的堆肥；采用配方施肥技术，提高小麦抗链格孢菌叶枯病的能力。药剂防治：必要时喷洒75%百菌清可湿性粉剂600倍液或70%代森锰锌可湿性粉剂500倍液、64%杀毒矾可湿性粉剂500倍液、50%扑海因可湿性粉剂1500倍液
小麦雪腐病(灰色雪腐病),一般易发生在雪覆盖或刚刚融化的麦田,未提及,主要为害小麦幼苗的根及叶鞘和叶片,病株上初生浅绿色水渍状病斑，布满灰白色松软霉层，后产生大量黑褐色的菌核，病部组织烂腐、病叶极易破碎,病菌以菌核随病残体在土壤中生活，秋季土壤湿度适宜时，菌核萌发产生担孢子，借气流传播，从根或根颈及叶和叶鞘处侵入，菌核也可直接萌发产生菌丝进行扩展,病菌生长温限5 - 15℃，1 - 5℃时致病力最强，冬季积雪时间长，土壤不结冻，土温0℃左右易发病，连作地发病重,未提及,物理防治：轮作或与玉米、胡麻、瓜类等作物倒茬，将冬小麦改为春小麦，与豆类作物倒茬可减少菌源。肥料防治：增施有机肥和磷、钾肥，宜浇水后播种，注意适期播种，冬灌时间不宜过迟，积雪融化后要及时做好开沟排水和春耙工作，收获后深翻。药剂拌种：用40%多菌灵超微可湿粉按种子重量0.3%拌种，防效可达90%以上
小麦雪霉叶枯病(小麦雪腐叶枯病、红色雪腐病),未提及,从小麦发芽期至成熟前均可发病,产生芽腐、苗枯、鞘腐、叶枯、穗腐等症状，其中叶枯和鞘腐最重要,芽腐和苗枯：种子萌发后，胚根、胚根鞘、胚芽鞘等腐烂变色，胚根少，根短，胚芽鞘上生条形至长圆形黑褐色斑，严重的烂腐，表生白色菌丝，病菌基部的叶鞘变褐坏死，且向叶片基部发展，致整叶变褐或变黄枯死，病苗生长衰弱，根系不发达或短，苗矮，第一、二叶短缩，发病重时整株呈水浸状变褐腐烂或死亡，死苗倒伏，表面生白色菌丝。基腐和鞘腐：拔节后抽穗前发病部位上移，病株基部1 - 2节的叶鞘褐变腐烂，叶鞘枯死后由深褐色变浅至枯黄色，与叶鞘相连的叶片也染病或迅速变褐枯死，鞘腐多从上部叶鞘与叶片相连处始发，后向叶片基部及叶鞘中下部发展，病叶鞘变为枯黄色或黄褐色，变色部无明显边缘，湿度大时，上生稀疏的红色霉状物，上部叶鞘染病后可致旗叶和下一叶枯死。叶枯：成株叶片染病初呈水浸状，后扩展为椭圆形至圆形大斑，边缘灰发色，叶间污褐色，呈浸润性地向四周扩展，形成不大明显的轮纹数层，病斑上可见砖红色霉状物，湿度大时病斑边缘现白色菌丝层，有时病部现微细的黑色粒点，即病菌子囊壳，后期多数病叶枯死。穗腐：个别小穗或少数小穗发病，颖壳上产生水浸状黑褐色斑块，上现红色霉，小穗轴变褐腐烂，个别穗颈腐烂褐色，严重时全穗或局部变黄枯死，病粒易皱缩褐变，表生污白色菌丝,病菌以菌丝体或分生孢子在种子、土壤和病残体上越冬后侵染叶鞘，后向其他部位扩展，进行多次重复侵染，使病害扩展蔓延,病菌生长温限 - 2 - 30℃，19 - 21℃最适，西北地区4 - 5月降雨多的年份，低温湿度大，有利该病发生，青藏高原麦区，7 - 8月多雨，气温偏低，除为害叶片外，还可引致穗腐，潮湿多雨和比较冷凉的阴湿山区和平原灌区易发病，小麦抽穗后20多天，降雨量对上位叶发病影响较大，小麦拔节孕穗期间受冻害，抗病性降低，春小麦栽培区，小麦灌浆至乳熟期是该病流行盛期，春灌过量、浇水次数过多、生育后期大水漫灌或土壤粘重、地下水位高、田间湿度大的田块、施用氮肥过量、施用时期过晚易发病，播种过早，播量过大田间郁闭发病重,选用抗病品种和无病种子，如郑州3号、花培28等,物理防治：适时播种，合理密植，对分蘖性强的矮秆品种尤其要注意控制播种量；施用酵素菌沤制的堆肥或充分腐熟有机肥，避免偏施、过施氮肥，适当控制追肥；冬季灌饱，春季尽量不灌或少灌，早春耙耱保墒，严禁连续灌水和大水漫灌。药剂防治：对低湿、高肥、密植有可能发病田块或历年秋苗发病重的地区或田块，于越冬前和返青后喷洒80%多菌灵超微粉剂1000倍液，每667m²用量50g超低量或常规喷雾；也可选用36%甲基硫菌灵悬浮剂500倍液、50%苯菌灵可湿性粉剂1500倍液、25%三唑酮乳油2000倍液
小麦颍枯病(同之前重复，不再赘述),未提及,未提及,主要为害小麦未成熟穗部和茎秆，也为害叶片和叶鞘,穗部染病先在顶端或上部小穗上发生，颖壳上开始为深褐色斑点，后变为枯白色并扩展到整个颖壳，其上长满菌丝和小黑点；茎节染病呈褐色病斑，能侵入导管并将其堵塞，使节部畸变、扭曲，上部茎秆折断而死；叶片染害初为长梭形淡褐色小斑，后扩大成不规则形大斑，边缘有淡黄晕圈，中央灰白色，其上密生小黑点，剑叶被害扭曲枯死；叶鞘发病后变黄，使叶片早枯,冬麦区病菌在病残体或附在种子上越夏，秋季侵入麦苗，以菌丝体在病株上越冬；春麦区以分生孢子器和菌丝体在病残体上越冬，次年条件适宜，释放出分生孢子侵染春小麦，借风、雨传播,侵染温度10 - 25℃，以22 - 24℃最适，适温下潜育期为7 - 14天，高温多雨条件有利于颖枯病发生和蔓延，连作田发病重，春麦播种晚，偏施氮肥,选用无病种子,种子处理：用50%多福混合粉(多菌灵：福美双为1∶1)500倍液浸种48小时或50%多菌灵可湿粉、70%甲基硫菌灵(甲基托市津)可湿粉、40%拌种双可湿粉，按种子量0.2%拌种；也可用25%三唑酮(粉锈宁)可湿粉75g拌闷种100kg或0.03%三唑醇(羟锈宁)(有效成分)拌种、0.15%噻菌灵(涕必灵)(有效成分)拌种。药剂防治：重病区，在小麦抽穗期喷洒70%代森锰锌可湿性粉剂600倍液或75%百菌清可湿性粉剂800 - 1000倍液、1∶1∶400倍式波尔多液、25%苯菌灵乳油800 - 1000倍液、25%丙环唑(敌力脱)乳油2000倍液，隔15 - 20天一次，喷1 - 3次。农业防治：清除病残体，麦收后深耕不茬；消灭自生麦苗，压低越夏、越冬菌源；实行2年以上轮作；春麦适时早播，施用充分腐熟有机肥，增施磷、钾肥，采用配方施肥技术
小麦黄斑叶枯病(小麦黄斑病),未提及,未提及,该病主要为害叶片，可单独形成黄斑，有时与其他叶斑病混合发生,叶片染病初生黄褐色斑点，后扩展为椭圆形至纺锤形大斑，大小7 - 30×1 - 6(mm)，病斑中央色深，有不大明显的轮纹，边缘边界不明显，外围生黄色晕圈，后期病斑融合，致叶片变黄干枯,病菌随病残体在土壤或粪肥中越冬，翌年小麦生长期子囊孢子侵染，发病后病部产生分生孢子，借风雨传播进行再侵染,未提及,未提及,防治：参见小麦叶斑根腐病
小麦黄矮病毒病,未提及,未提及,主要表现叶片黄化，植株矮化,叶片典型症状是新叶发病从叶尖渐向叶基扩展变黄，黄化部分占全叶的1/3 - 1/2，叶基仍为绿色，且保持较长时间，有时出现与叶脉平行但不受叶脉限制的黄绿相间条纹，病叶较光滑，发病早植株矮化严重，但因品种而异；冬麦发病不显症，越冬期间不耐低温易冻死，能存活的翌春分蘖减少，病株严重矮化，不抽穗或抽穗很小；拔节孕穗期病病的植株稍矮，根系发育不良；抽穗期发病仅旗叶发黄，植株矮化不明显，能抽穗，粒重降低,病毒只有经由麦二叉蚜、禾谷缢管蚜等进行持久性传毒，不能由种子、土壤、汁液传播,16 - 20℃，病毒潜育期为15 - 20天，温度低，潜育期长，25℃以上隐症，30℃以上不显症；麦二叉蚜在病叶上吸食30分钟即可获毒，在健苗上吸食5 - 10分钟即可传毒，获毒后3 - 8天带毒蚜虫传毒率最高，约可传20天左右，以后逐渐减弱，但不终生传毒，刚产若蚜不带毒；冬麦区冬前感病小麦是翌年发病中心，返青拔节期出现一次高峰，抽穗期出现第二次发病高峰，春季收获后，有翅蚜迁飞至糜、谷子、高粱及禾本科杂草等植物越夏，秋麦出苗后迁回麦田传毒并以有翅成蚜、无翅若蚜在麦苗基部越冬，有些地区也产卵越冬；冬、春麦混种区5月上旬冬麦上有翅蚜向春麦迁飞，晚熟麦、糜子和自生麦苗是麦蚜及病毒越夏场所，冬麦出苗后飞回传毒；春麦区的虫源、毒源有可能来自部分冬麦区，成为春麦区初侵染源；冬麦播种早、发病重，阳坡重、阴坡轻，旱地重、水浇地轻，粗放管理重、精耕细作轻，瘠薄地重；发病程度与麦蚜虫口密度有直接关系，有利于麦蚜繁殖温度，对传毒也有利，病毒潜育期较短，冬麦区早春麦蚜扩散是传播小麦黄矮病毒的主要时期，小麦拔节孕穗期遇低温，抗性降低易发生黄矮病，该病流行与毒源基数多少有重要关系，如自生苗等病毒寄主量大，麦蚜虫口密度大易造成黄矮病大流行,鉴定选育抗、耐病品种，选择近年选育出的抗耐病品种及一些有较好抗耐病性的农家品种,物理防治：加强栽培管理，及时消灭田间及附近杂草；冬麦区适期迟播，春麦区适当早播，确定合理密度，加强肥水管理，提高植株抗病力；冬小麦采用地膜覆盖，防病效果明显。药剂防治：治蚜防病，及时防治蚜虫是预防黄矮病流行的有效措施；拌种可选用甲拌磷原液、灭蚜松、乐果乳剂等；喷药可选用40%乐果乳油、50%灭蚜松乳油、2.5%功夫菊酯或敌杀死、氯氰菊酯乳油、50%对硫磷乳油等，也可喷1%对硫磷粉或1.5%乐果粉，抗蚜威等；毒土法用40%乐果乳剂拌细土撒在麦苗基叶上，减少越冬虫源
小麦黑节病,未提及,未提及,主要为害叶片、叶鞘、茎秆节与节间,叶片染病初生水渍状条斑，后变为黄褐色，最后呈浓褐色，病斑长椭圆形，也有中间色浅些的；叶鞘染病沿叶脉形成黑褐色长形条斑，多与叶上病斑相连，后叶鞘全部变为浅褐色；茎秆染病主要为害节部，病部呈浓褐色，内部也变色，后可扩展至节间，发病早的秆部逐渐腐败，叶片变黄，造成全株枯死,菌在干燥条件下可长期存活，干燥种子上的病菌可活到秋季，主要靠麦种带菌传播,未提及,未提及,防治：参见小麦散黑穗病；病重田块的麦秆，及时处理
小麦黑颖病,我国北方麦区,未提及,主要为害小麦叶片、叶鞘、穗部、颖片及麦芒,穗部染病穗上病部为褐色至黑色的条斑，多个病斑融合在一起后颖片变黑发亮，颖片染病后引起种子感染，致病种子皱缩或不饱满，发病轻的种子颜色变深；叶片染病初呈水渍状小点，渐沿叶脉向上、下扩展为黄褐色条状斑；穗轴、茎秆染病产生黑褐色长条状斑，湿度大时，以上病部均产生黄色细菌脓液,种子带菌是该病主要初侵染源，病残体和其它寄主也可带菌，病菌从种子进入导管，后到达穗部产生病斑，病部溢出菌脓具大量病原细菌，借风雨或昆虫及接触传播，从气孔或伤口侵入，进行多次再侵染,高温高湿利于该病扩展，小麦孕穗期至灌浆期降雨频繁，温度高发病重,建立无病留种田，选用抗病品种,种子处理：采用防治小麦散黑穗病变温浸种法，28 - 32℃浸4小时，再在53℃水中浸7分钟；也可用15%叶青双胶悬剂3000mg/kg浸种12小时。药剂处理：发病初期开始喷洒25%叶青双可湿性粉剂，每667m²用100 - 150g对水50 - 60L喷雾2 - 3次，或用新植霉素4000倍液
